Genero_Usuario,Edad_Usuario,Bici,Ciclo_Estacion_Retiro,Fecha_Retiro,Hora_Retiro,Ciclo_Estacion_Arribo,Fecha_Arribo,Hora_Arribo
M,49,0305,83,2010-04-01,00:00:19.893000,54,2010-04-01,00:08:08.430000
M,26,0296,58,2010-04-01,00:02:11.597000,58,2010-04-01,00:11:31.373000
M,45,0078,49,2010-04-01,00:14:12.813000,75,2010-04-01,00:27:14.450000
M,49,0215,49,2010-04-01,00:14:36.907000,75,2010-04-01,00:27:35.827000
F,30,0140,65,2010-04-01,00:19:43.960000,49,2010-04-01,00:26:54.140000
M,30,0169,65,2010-04-01,00:19:55.587000,49,2010-04-01,00:26:48.017000
M,34,1005,74,2010-04-01,00:23:07.887000,63,2010-04-01,00:24:30.083000
M,22,0101,28,2010-04-01,06:59:59.453000,81,2010-04-01,07:09:44.153000
M,42,0338,5,2010-04-01,07:08:29.367000,61,2010-04-01,07:29:56.080000
M,43,0828,16,2010-04-01,07:08:40.213000,16,2010-04-01,07:24:54.747000
M,45,0752,5,2010-04-01,07:08:41.493000,61,2010-04-01,07:30:04.923000
M,38,0576,83,2010-04-01,07:21:17.010000,53,2010-04-01,07:28:08.420000
M,26,0575,11,2010-04-01,07:32:49.270000,13,2010-04-01,07:38:52.403000
M,59,0201,71,2010-04-01,07:41:01.563000,65,2010-04-01,07:48:18.927000
M,38,0313,53,2010-04-01,07:45:28.500000,83,2010-04-01,07:55:18.823000
M,45,0592,59,2010-04-01,07:54:19.680000,16,2010-04-01,08:08:36.203000
M,42,1163,59,2010-04-01,07:55:01.603000,16,2010-04-01,08:08:30.170000
F,35,0268,13,2010-04-01,08:05:45.090000,4,2010-04-01,08:13:46.450000
F,53,0578,70,2010-04-01,08:17:29.303000,70,2010-04-01,08:44:59.627000
M,32,0183,36,2010-04-01,08:24:10.570000,53,2010-04-01,08:27:36.190000
M,32,0431,53,2010-04-01,08:29:59.383000,36,2010-04-01,08:38:02.250000
F,42,0412,80,2010-04-01,08:37:26.857000,2,2010-04-01,08:57:15.847000
F,43,0699,66,2010-04-01,08:43:37.953000,60,2010-04-01,08:50:34.453000
M,26,0389,84,2010-04-01,08:47:39.243000,33,2010-04-01,09:02:40.817000
M,31,0516,2,2010-04-01,08:47:41.930000,8,2010-04-01,08:51:16.673000
F,51,0914,64,2010-04-01,08:50:58.613000,7,2010-04-01,08:59:16.683000
F,52,0398,61,2010-04-01,08:52:22.533000,61,2010-04-01,09:16:19.873000
M,38,0242,44,2010-04-01,08:54:40.420000,44,2010-04-01,09:03:04.113000
F,37,0640,20,2010-04-01,09:02:48.937000,20,2010-04-01,09:26:07.323000
M,25,0850,84,2010-04-01,09:04:32.320000,63,2010-04-01,09:09:40.163000
M,24,0641,35,2010-04-01,09:07:52.923000,17,2010-04-01,09:13:18.230000
M,51,0520,3,2010-04-01,09:12:31.370000,27,2010-04-01,09:16:00.263000
M,51,0685,5,2010-04-01,09:13:18.157000,16,2010-04-01,09:16:21.250000
M,60,0834,49,2010-04-01,09:17:10.980000,49,2010-04-01,12:31:49.990000
F,28,0027,37,2010-04-01,09:18:19.700000,58,2010-04-01,09:21:08.083000
M,49,0057,49,2010-04-01,09:18:41.623000,61,2010-04-01,09:24:05.420000
M,51,0702,70,2010-04-01,09:19:48.503000,70,2010-04-01,09:30:24.203000
M,32,0375,20,2010-04-01,09:21:23.553000,13,2010-04-01,09:31:06.453000
F,26,0360,70,2010-04-01,09:21:43.147000,70,2010-04-01,09:49:10.487000
M,29,1167,39,2010-04-01,09:21:53.883000,6,2010-04-01,12:28:18.663000
M,42,0787,59,2010-04-01,09:22:12.057000,56,2010-04-01,09:41:22.247000
F,41,0595,84,2010-04-01,09:24:23.983000,59,2010-04-01,09:30:56.487000
M,59,0340,66,2010-04-01,09:24:59.587000,53,2010-04-01,09:39:57.823000
M,47,0345,76,2010-04-01,09:25:57.173000,36,2010-04-01,09:34:20.493000
F,33,0151,45,2010-04-01,09:26:45.620000,23,2010-04-01,09:35:51.733000
M,30,1109,70,2010-04-01,09:26:50.880000,70,2010-04-01,09:47:25.077000
M,30,0497,5,2010-04-01,09:27:12.820000,32,2010-04-01,09:32:31.707000
M,44,0122,18,2010-04-01,09:28:14.680000,27,2010-04-01,09:30:36.610000
M,29,0041,54,2010-04-01,09:31:06.737000,50,2010-04-01,09:33:16.977000
M,32,0589,73,2010-04-01,09:31:42.143000,15,2010-04-01,12:36:09.233000
M,29,0844,74,2010-04-01,09:34:25.880000,74,2010-04-01,09:47:01.630000
F,26,0833,65,2010-04-01,09:34:50.103000,83,2010-04-01,09:40:07.653000
M,28,0994,14,2010-04-01,09:35:41.053000,27,2010-04-01,09:42:05.187000
M,32,0586,24,2010-04-01,09:42:23.763000,30,2010-04-01,09:46:39.823000
M,44,0238,34,2010-04-01,09:42:30.203000,26,2010-04-01,09:45:54.823000
M,51,0718,61,2010-04-01,09:45:10.117000,61,2010-04-01,10:12:31.067000
M,42,0829,85,2010-04-01,09:47:23.357000,42,2010-04-01,09:59:31.550000
F,24,0633,84,2010-04-01,09:49:12.067000,36,2010-04-01,09:57:47.230000
M,28,1041,83,2010-04-01,09:51:36.633000,36,2010-04-01,10:01:56.070000
M,36,1028,14,2010-04-01,09:53:18.903000,8,2010-04-01,10:14:17.263000
M,43,1179,8,2010-04-01,09:57:49.407000,13,2010-04-01,10:02:04.293000
F,32,0945,83,2010-04-01,09:58:59.377000,64,2010-04-01,12:31:38.057000
M,46,0328,60,2010-04-01,09:59:12.517000,59,2010-04-01,10:08:18.133000
M,59,0905,53,2010-04-01,10:00:11.190000,66,2010-04-01,10:03:04.160000
M,24,0747,60,2010-04-01,10:01:17.073000,36,2010-04-01,10:05:16.873000
F,26,0010,20,2010-04-01,10:02:28.083000,14,2010-04-01,10:29:01.853000
M,28,1103,36,2010-04-01,10:04:44.217000,63,2010-04-01,10:10:31.107000
M,30,0683,70,2010-04-01,10:05:14.500000,70,2010-04-01,10:30:05.677000
M,44,0582,66,2010-04-01,10:08:37.730000,70,2010-04-01,10:14:32.963000
F,26,0532,70,2010-04-01,10:11:15.750000,70,2010-04-01,10:30:09.613000
F,32,0679,83,2010-04-01,10:13:07.243000,83,2010-04-01,10:21:22.280000
M,30,0325,83,2010-04-01,10:13:19.570000,83,2010-04-01,10:20:02.920000
M,42,0723,20,2010-04-01,10:17:05.740000,13,2010-04-01,10:28:14.057000
F,29,0203,70,2010-04-01,10:17:06.703000,68,2010-04-01,10:21:23.267000
M,38,0291,1,2010-04-01,10:20:30.420000,25,2010-04-01,10:28:38.907000
M,24,0608,50,2010-04-01,10:20:52.980000,63,2010-04-01,10:26:05.617000
M,44,0416,52,2010-04-01,10:20:53,64,2010-04-01,12:31:38.120000
M,25,0110,81,2010-04-01,10:21:13.687000,20,2010-04-01,10:36:16.817000
M,34,0660,1,2010-04-01,10:23:50.363000,27,2010-04-01,10:35:40.830000
M,32,0895,76,2010-04-01,10:28:00.890000,80,2010-04-01,12:31:16.980000
M,41,0791,77,2010-04-01,10:29:00.330000,77,2010-04-01,10:50:46.357000
M,32,0076,30,2010-04-01,10:29:07.813000,20,2010-04-01,10:35:16.017000
M,31,0272,85,2010-04-01,10:30:04.533000,10,2010-04-01,10:35:58.520000
M,30,0304,74,2010-04-01,10:31:08.933000,70,2010-04-01,10:49:35.727000
F,32,1038,74,2010-04-01,10:31:41.670000,70,2010-04-01,10:48:06.270000
M,44,0129,1,2010-04-01,10:33:16.123000,30,2010-04-01,10:41:40.660000
M,49,0808,1,2010-04-01,10:33:32.577000,30,2010-04-01,10:41:28.033000
M,26,0490,56,2010-04-01,10:40:48.033000,65,2010-04-01,10:50:42.667000
M,27,0428,85,2010-04-01,10:42:23.520000,13,2010-04-01,10:54:18.057000
M,30,0299,70,2010-04-01,10:43:37.413000,70,2010-04-01,10:57:30.280000
F,26,0644,70,2010-04-01,10:43:51.430000,70,2010-04-01,10:57:31.750000
F,26,0965,48,2010-04-01,10:49:20.363000,57,2010-04-01,10:56:03.323000
M,40,0909,57,2010-04-01,10:49:28.367000,46,2010-04-01,11:02:45.267000
