Total_Rides,Start_Station,End_Station,Start_Station_Name,Start_Station_Lat,Start_Station_Lon,Start_Colonia,End_Station_Name,End_Station_Lat,End_Station_Lon,End_Colonia
477,18,1,18 REFORMA-RIO RHIN,19.42888,-99.164176,Cuauhtemoc,1 RIO SENA-RIO BALSAS,19.433571399999998,-99.16780909999999,Cuauhtemoc
434,211,217,211 NEWTON-HORACIO,19.433607000000002,-99.188528,Polanco,217 EULER-AV. HORACIO ,19.432888000000002,-99.183605,Polanco
427,1,18,1 RIO SENA-RIO BALSAS,19.433571399999998,-99.16780909999999,Cuauhtemoc,18 REFORMA-RIO RHIN,19.42888,-99.164176,Cuauhtemoc
342,174,183,174 JOAQUÍN GARCIA-IGNACIO MANUEL ALTAMIRANO,19.441110000000002,-99.16164,San Rafael,183 GABINO BARRERA-GUILLERMO PRIETO,19.43767,-99.16402,San Rafael
335,41,3,41 REFORMA-AV. DE LA REPUBLICA,19.435637,-99.150137,Tabacalera,3 REFORMA-INSURGENTES,19.431655,-99.158668,Juarez
328,23,27,23 REFORMA-PRAGA,19.42517,-99.17105,Juarez,27 REFORMA-HAVRE,19.429115,-99.162614,Juarez
318,183,174,183 GABINO BARRERA-GUILLERMO PRIETO,19.43767,-99.16402,San Rafael,174 JOAQUÍN GARCIA-IGNACIO MANUEL ALTAMIRANO,19.441110000000002,-99.16164,San Rafael
309,61,61,61 AVENIDA MEXICO-SONORA,19.413742000000003,-99.169525,Hipodromo,61 AVENIDA MEXICO-SONORA,19.413742000000003,-99.169525,Hipodromo
305,217,211,217 EULER-AV. HORACIO ,19.432888000000002,-99.183605,Polanco,211 NEWTON-HORACIO,19.433607000000002,-99.188528,Polanco
298,34,1,34 LIVERPOOL-GENOVA,19.424725,-99.163331,Juarez,1 RIO SENA-RIO BALSAS,19.433571399999998,-99.16780909999999,Cuauhtemoc
292,36,53,36 PUEBLA-VERACRUZ,19.419725,-99.17577800000001,Piedad Narvarte,53 FERNANDO MONTES DE OCA-TULA,19.414773,-99.178433,Condesa
291,1,35,1 RIO SENA-RIO BALSAS,19.433571399999998,-99.16780909999999,Cuauhtemoc,35 LIVERPOOL-GENOVA,19.424674,-99.163292,Juarez
290,21,27,21 REFORMA-DUBLIN,19.42472,-99.17206,Juarez,27 REFORMA-HAVRE,19.429115,-99.162614,Juarez
281,70,70,70 PARQUE MEXICO-MICHOACAN,19.411272,-99.169718,Hipodromo,70 PARQUE MEXICO-MICHOACAN,19.411272,-99.169718,Hipodromo
281,27,43,27 REFORMA-HAVRE,19.429115,-99.162614,Juarez,43 JUAREZ-REVILLAGIGEDO,19.435228,-99.146063,Centro
278,27,29,27 REFORMA-HAVRE,19.429115,-99.162614,Juarez,29 REFORMA-BUCARELI,19.434913,-99.149939,Centro
274,35,1,35 LIVERPOOL-GENOVA,19.424674,-99.163292,Juarez,1 RIO SENA-RIO BALSAS,19.433571399999998,-99.16780909999999,Cuauhtemoc
268,27,1,27 REFORMA-HAVRE,19.429115,-99.162614,Juarez,1 RIO SENA-RIO BALSAS,19.433571399999998,-99.16780909999999,Cuauhtemoc
265,41,19,41 REFORMA-AV. DE LA REPUBLICA,19.435637,-99.150137,Tabacalera,19 REFORMA-RIO RHIN,19.429241,-99.163377,Cuauhtemoc
259,1,27,1 RIO SENA-RIO BALSAS,19.433571399999998,-99.16780909999999,Cuauhtemoc,27 REFORMA-HAVRE,19.429115,-99.162614,Juarez
257,85,174,85 ROSAS MORENO-SULLIVAN,19.43425,-99.162508,San Rafael,174 JOAQUÍN GARCIA-IGNACIO MANUEL ALTAMIRANO,19.441110000000002,-99.16164,San Rafael
250,53,36,53 FERNANDO MONTES DE OCA-TULA,19.414773,-99.178433,Condesa,36 PUEBLA-VERACRUZ,19.419725,-99.17577800000001,Piedad Narvarte
250,27,27,27 REFORMA-HAVRE,19.429115,-99.162614,Juarez,27 REFORMA-HAVRE,19.429115,-99.162614,Juarez
248,208,206,208 HESIODO-LAMARTINE ,19.434182,-99.189835,Polanco,206 MOLIERE-HOMERO ,19.435798000000002,-99.201419,Polanco
242,165,163,165 BAJÍO-EJE 2 PTE. MONTERREY,19.404268,-99.160503,Roma Sur,163 TOLUCA-BAJÍO,19.405245999999998,-99.15643100000001,Roma Sur
238,24,27,24 REFORMA-VARSOVIA,19.426470000000002,-99.16821999999999,Juarez,27 REFORMA-HAVRE,19.429115,-99.162614,Juarez
234,206,208,206 MOLIERE-HOMERO ,19.435798000000002,-99.201419,Polanco,208 HESIODO-LAMARTINE ,19.434182,-99.189835,Polanco
231,208,242,208 HESIODO-LAMARTINE ,19.434182,-99.189835,Polanco,242 MIGUEL DE CERVANTES SAAVEDRA-PROL MOLIERE ,19.440344,-99.20105,Granada
228,151,158,151 CAMPECHE-TONALÁ,19.410529,-99.160873,Roma Sur,158 HUATABAMPO-EJE 1PTE. CUAUHTÉMOC,19.407447,-99.15571700000001,Roma Sur
225,84,71,84 CHILPANCINGO-TLAXCALA,19.407020000000003,-99.16958699999999,Hipodromo,71 AMSTERDAM-MICHOACAN,19.411423000000003,-99.171351,Hipodromo
224,84,63,84 CHILPANCINGO-TLAXCALA,19.407020000000003,-99.16958699999999,Hipodromo,63 NUEVO LEON- LAREDO,19.413681,-99.171531,Condesa
224,270,266,270 DE LA REPUBLICA-PONCIANO ARRIAGA ,19.43676,-99.15387,Tabacalera,266 AV. JESÚS GARCIA-CARLOS J. MENESES ,19.444031,-99.152187,Buenavista
