,Genero_Usuario,Edad_Usuario,Ciclo_Estacion_Retiro,Ciclo_Estacion_Arribo,Usage_Timestamp,Duration(Min)
0,M,28,85,85,2010-02-16 12:45:37.427,3.1
1,M,46,25,31,2010-03-19 08:37:12.663,5.9
2,M,42,71,82,2010-03-30 21:04:39.033,17.4
3,M,66,73,54,2010-04-08 15:09:24.123,6.8
4,F,51,17,20,2010-04-15 19:03:19.010,6.1
5,M,52,24,24,2010-04-22 17:10:24.607,3.4
6,M,33,39,8,2010-04-27 14:40:44.490,8.5
7,F,26,1,11,2010-05-03 17:43:01.853,4.8
8,F,36,40,46,2010-05-07 14:52:29.840,6.8
9,M,56,16,2,2010-05-13 20:59:05.953,4.7
10,M,59,61,61,2010-05-18 14:26:40.147,12.2
11,M,30,4,23,2010-05-23 11:52:56.633,27.6
12,M,35,37,43,2010-05-28 19:18:47.917,8.7
13,F,28,69,62,2010-06-02 16:10:37.210,6.8
14,M,27,80,45,2010-06-06 13:32:33.890,11.5
15,M,42,59,76,2010-06-10 15:16:01.217,4.7
16,F,31,68,78,2010-06-15 14:19:11.853,6.8
17,F,24,36,57,2010-06-21 20:43:19.037,3.6
18,M,49,79,79,2010-06-25 23:54:29.907,17.8
19,M,29,58,64,2010-06-30 13:34:56.367,4.6
20,M,31,22,83,2010-07-06 14:09:47.283,8.4
21,F,18,69,60,2010-07-12 21:22:30.287,27.6
22,M,36,85,30,2010-07-16 08:33:52.677,8.1
23,M,68,85,1,2010-07-21 15:26:35.417,14.9
24,M,42,80,74,2010-07-27 07:29:34.477,2.1
25,M,35,49,59,2010-07-31 10:10:40.297,6.8
26,M,26,23,74,2010-08-04 13:17:56.357,13.8
27,M,33,14,25,2010-08-09 10:38:46.780,9.2
28,M,39,80,84,2010-08-13 15:10:37.277,2.5
29,M,28,14,20,2010-08-17 19:31:03.090,8.9
30,M,35,77,74,2010-08-20 08:52:11.720,5.7
31,M,47,73,54,2010-08-24 09:48:02.457,5.3
32,M,26,59,75,2010-08-27 20:04:28.413,7.2
33,M,35,32,36,2010-08-31 14:42:02.093,6.3
34,M,50,77,79,2010-09-03 17:13:35.670,2.9
35,M,35,46,2,2010-09-07 17:49:49.903,9.7
36,F,34,13,64,2010-09-09 19:19:29.613,15.2
37,M,47,58,58,2010-09-12 11:22:59.917,22.0
38,F,33,39,70,2010-09-15 21:44:19.060,9.8
39,F,34,41,83,2010-09-20 16:32:37.607,16.1
40,M,30,37,21,2010-09-22 09:08:08.680,3.4
41,M,24,41,9,2010-09-25 21:38:48.200,10.9
42,F,24,4,2,2010-09-28 21:41:01.240,7.8
43,F,28,11,2,2010-09-30 19:36:58.203,6.6
44,F,30,56,36,2010-10-03 16:32:49.227,8.2
45,M,35,73,23,2010-10-05 16:34:12.490,13.7
46,M,26,54,75,2010-10-07 14:28:11.527,5.7
47,F,38,69,71,2010-10-10 10:20:56.410,5.8
48,M,33,29,36,2010-10-12 14:52:04.213,6.3
49,M,25,13,81,2010-10-14 20:38:54.920,13.2
50,F,33,61,50,2010-10-17 18:26:53.393,8.5
51,M,29,79,84,2010-10-19 07:46:14.267,3.0
52,M,25,77,66,2010-10-21 09:40:54.553,5.2
53,F,27,49,66,2010-10-23 14:01:05.337,9.1
54,M,57,17,20,2010-10-26 18:59:03.987,6.2
55,M,32,32,9,2010-10-28 08:54:31.600,5.1
56,M,28,77,68,2010-10-30 17:48:24.777,3.3
57,M,29,73,83,2010-11-02 19:05:10.077,5.5
58,M,44,1,34,2010-11-04 06:40:51.347,9.8
59,F,33,69,77,2010-11-06 14:17:44.417,9.3
