Genero_Usuario,Edad_Usuario,Ciclo_Estacion_Retiro,Ciclo_Estacion_Arribo,Usage_Timestamp,Duration(Min)
M,28,85,85,2010-02-16 12:45:37.427,3.1
M,46,25,31,2010-03-19 08:37:12.663,5.9
M,42,71,82,2010-03-30 21:04:39.033,17.4
M,66,73,54,2010-04-08 15:09:24.123,6.8
F,51,17,20,2010-04-15 19:03:19.010,6.1
M,52,24,24,2010-04-22 17:10:24.607,3.4
M,33,39,8,2010-04-27 14:40:44.490,8.5
F,26,1,11,2010-05-03 17:43:01.853,4.8
F,36,40,46,2010-05-07 14:52:29.840,6.8
M,56,16,2,2010-05-13 20:59:05.953,4.7
M,59,61,61,2010-05-18 14:26:40.147,12.2
M,30,4,23,2010-05-23 11:52:56.633,27.6
M,35,37,43,2010-05-28 19:18:47.917,8.7
F,28,69,62,2010-06-02 16:10:37.210,6.8
M,27,80,45,2010-06-06 13:32:33.890,11.5
M,42,59,76,2010-06-10 15:16:01.217,4.7
F,31,68,78,2010-06-15 14:19:11.853,6.8
F,24,36,57,2010-06-21 20:43:19.037,3.6
M,49,79,79,2010-06-25 23:54:29.907,17.8
M,29,58,64,2010-06-30 13:34:56.367,4.6
M,31,22,83,2010-07-06 14:09:47.283,8.4
F,18,69,60,2010-07-12 21:22:30.287,27.6
M,36,85,30,2010-07-16 08:33:52.677,8.1
M,68,85,1,2010-07-21 15:26:35.417,14.9
M,42,80,74,2010-07-27 07:29:34.477,2.1
M,35,49,59,2010-07-31 10:10:40.297,6.8
M,26,23,74,2010-08-04 13:17:56.357,13.8
M,33,14,25,2010-08-09 10:38:46.780,9.2
M,39,80,84,2010-08-13 15:10:37.277,2.5
M,28,14,20,2010-08-17 19:31:03.090,8.9
M,35,77,74,2010-08-20 08:52:11.720,5.7
M,47,73,54,2010-08-24 09:48:02.457,5.3
M,26,59,75,2010-08-27 20:04:28.413,7.2
M,35,32,36,2010-08-31 14:42:02.093,6.3
M,50,77,79,2010-09-03 17:13:35.670,2.9
M,35,46,2,2010-09-07 17:49:49.903,9.7
F,34,13,64,2010-09-09 19:19:29.613,15.2
M,47,58,58,2010-09-12 11:22:59.917,22.0
F,33,39,70,2010-09-15 21:44:19.060,9.8
F,34,41,83,2010-09-20 16:32:37.607,16.1
M,30,37,21,2010-09-22 09:08:08.680,3.4
M,24,41,9,2010-09-25 21:38:48.200,10.9
F,24,4,2,2010-09-28 21:41:01.240,7.8
F,28,11,2,2010-09-30 19:36:58.203,6.6
F,30,56,36,2010-10-03 16:32:49.227,8.2
M,35,73,23,2010-10-05 16:34:12.490,13.7
M,26,54,75,2010-10-07 14:28:11.527,5.7
F,38,69,71,2010-10-10 10:20:56.410,5.8
M,33,29,36,2010-10-12 14:52:04.213,6.3
M,25,13,81,2010-10-14 20:38:54.920,13.2
F,33,61,50,2010-10-17 18:26:53.393,8.5
M,29,79,84,2010-10-19 07:46:14.267,3.0
M,25,77,66,2010-10-21 09:40:54.553,5.2
F,27,49,66,2010-10-23 14:01:05.337,9.1
M,57,17,20,2010-10-26 18:59:03.987,6.2
M,32,32,9,2010-10-28 08:54:31.600,5.1
M,28,77,68,2010-10-30 17:48:24.777,3.3
M,29,73,83,2010-11-02 19:05:10.077,5.5
M,44,1,34,2010-11-04 06:40:51.347,9.8
F,33,69,77,2010-11-06 14:17:44.417,9.3
M,36,79,36,2010-11-09 09:28:17.940,9.9
M,45,40,56,2010-11-11 19:25:44.993,8.0
M,27,68,30,2010-11-13 13:16:28.037,13.5
F,31,47,54,2010-11-16 12:02:32.930,4.5
F,23,25,27,2010-11-18 14:29:50.013,4.0
M,28,19,19,2010-11-21 23:46:16.967,3.5
M,45,7,46,2010-11-23 19:01:19.733,7.2
M,45,13,38,2010-11-25 15:45:09.880,5.6
F,32,63,46,2010-11-26 12:22:39.357,18.3
M,28,60,32,2010-11-29 19:51:56.543,11.3
M,40,28,31,2010-12-01 18:22:35.310,7.2
M,28,25,22,2010-12-02 08:39:01.603,5.1
M,27,14,17,2010-12-04 12:19:02.727,4.1
F,37,24,34,2010-12-07 12:45:33.173,7.3
F,26,46,31,2010-12-08 11:33:40.440,12.0
M,33,13,22,2010-12-10 07:32:37.997,3.9
F,25,16,27,2010-12-13 18:12:00.393,6.4
M,23,29,20,2010-12-15 17:18:28.570,16.7
M,28,2,27,2010-12-16 10:37:44.193,5.5
F,27,79,64,2010-12-18 19:17:21.917,7.1
F,28,12,38,2010-12-20 13:30:32.413,19.2
F,33,25,1,2010-12-22 09:13:26.757,16.9
M,20,47,70,2010-12-25 12:50:15.407,17.9
M,38,77,66,2010-12-28 14:29:46.263,3.1
M,34,25,2,2010-12-31 17:23:23.753,5.5
F,41,45,36,2011-01-03 16:40:46.520,10.8
M,59,19,87,2011-01-05 16:20:59.047,16.5
F,30,46,56,2011-01-07 17:37:49.930,4.9
F,21,46,38,2011-01-09 15:14:33.343,3.8
M,36,22,13,2011-01-10 11:12:20.623,2.2
M,21,13,18,2011-01-12 22:25:19.783,28.5
M,25,81,84,2011-01-13 14:58:09.693,18.2
M,28,84,64,2011-01-15 12:29:31.413,10.0
M,29,63,84,2011-01-17 19:51:37.143,4.7
F,28,68,77,2011-01-18 08:37:33.923,4.8
M,50,73,81,2011-01-19 11:54:26.360,5.5
M,37,37,70,2011-01-21 16:11:44.400,30.4
M,37,63,37,2011-01-22 14:05:19.563,6.0
M,38,78,58,2011-01-24 13:00:07.530,10.7
M,31,22,27,2011-01-25 13:59:48.417,7.1
M,39,24,30,2011-01-26 11:56:59.850,4.8
M,20,27,61,2011-01-28 16:48:21.367,94.9
M,42,12,87,2011-01-29 14:43:01.507,48.8
M,51,61,59,2011-01-31 19:01:52.747,9.2
M,46,11,21,2011-02-01 09:42:59.797,9.0
M,55,34,25,2011-02-02 09:53:34.287,4.1
M,29,15,18,2011-02-04 15:17:21.860,6.0
F,35,53,66,2011-02-05 13:25:38.047,7.2
M,36,45,38,2011-02-08 17:21:49.740,23.0
M,53,27,85,2011-02-09 15:36:02.117,4.6
M,24,11,28,2011-02-10 16:01:31.723,9.9
F,29,54,69,2011-02-11 20:47:58.927,25.9
M,27,89,31,2011-02-12 14:14:21.310,25.4
M,43,80,37,2011-02-14 19:20:10.660,10.6
F,31,27,18,2011-02-15 19:58:51.883,38.0
M,44,9,47,2011-02-16 09:09:48.920,6.4
M,58,18,1,2011-02-17 07:46:23.823,5.2
M,58,73,70,2011-02-18 11:59:53.577,17.1
M,20,23,13,2011-02-20 13:47:06.100,7.1
F,26,26,43,2011-02-21 13:12:14.463,5.2
M,51,30,9,2011-02-23 18:05:40.180,5.0
M,26,42,27,2011-02-24 18:25:52.790,6.5
F,40,43,88,2011-02-25 17:35:22.540,8.9
F,31,24,77,2011-02-26 21:04:19.600,17.7
M,29,22,6,2011-02-28 13:49:02.973,9.0
M,51,41,27,2011-03-01 08:35:30.127,9.9
M,21,1,12,2011-03-02 16:33:32.290,5.4
M,42,59,62,2011-03-03 14:46:05.177,51.6
M,34,86,17,2011-03-04 15:52:41.347,5.2
M,45,5,28,2011-03-05 21:03:10.753,13.9
F,42,51,58,2011-03-07 16:16:52.403,3.3
M,34,38,65,2011-03-08 21:22:28.893,24.7
M,26,1,47,2011-03-09 19:46:37.780,14.0
M,38,13,52,2011-03-10 16:31:08.907,23.2
M,28,78,84,2011-03-11 19:08:30.003,6.0
M,46,63,77,2011-03-12 10:52:57.490,6.4
M,28,39,25,2011-03-14 19:53:30.097,5.2
M,40,79,62,2011-03-15 23:45:14.760,7.5
F,29,75,69,2011-03-16 21:05:43.790,14.0
M,25,30,13,2011-03-17 21:33:26.057,11.0
M,29,21,56,2011-03-18 18:54:20.420,11.8
M,22,85,86,2011-03-19 12:57:56.850,13.2
F,53,43,13,2011-03-22 08:28:30.800,17.3
M,46,81,73,2011-03-23 19:05:24.840,6.1
M,29,86,31,2011-03-24 19:23:44.627,4.4
M,30,21,20,2011-03-25 17:41:14.337,17.3
F,26,49,56,2011-03-26 10:27:09.933,7.5
F,41,87,29,2011-03-27 12:11:36.093,33.4
M,59,8,7,2011-03-28 13:46:45.680,16.1
M,28,8,41,2011-03-29 11:57:37.903,6.0
M,29,80,84,2011-03-30 14:43:22.073,2.4
F,34,16,7,2011-03-31 15:08:50.293,5.7
F,31,1,18,2011-04-01 15:00:48.160,9.7
F,55,43,82,2011-04-03 09:50:06.903,43.0
F,35,13,16,2011-04-04 14:13:07.327,4.3
M,45,3,4,2011-04-05 14:44:40.167,21.9
M,34,8,17,2011-04-06 08:52:12.513,5.4
M,26,34,27,2011-04-07 08:14:54.963,5.4
M,39,69,68,2011-04-08 09:54:23.963,2.9
M,30,8,36,2011-04-10 15:02:25.443,11.7
M,61,84,35,2011-04-11 11:04:47.203,26.7
M,42,80,70,2011-04-12 10:56:22.487,14.9
F,25,20,17,2011-04-13 09:04:25.103,5.2
M,31,35,5,2011-04-14 09:17:36.343,6.4
M,37,72,45,2011-04-15 07:56:35.147,6.0
F,24,25,87,2011-04-17 08:52:57.523,23.5
M,17,46,40,2011-04-19 14:47:17.297,5.8
M,38,81,64,2011-04-20 18:04:52.703,6.5
F,30,26,43,2011-04-22 12:13:36.047,5.7
F,45,23,23,2011-04-25 16:48:45.910,12.6
M,41,64,51,2011-04-26 20:26:24.557,5.9
F,51,58,47,2011-04-27 19:22:10.320,4.9
F,24,27,41,2011-04-28 20:14:46.303,20.6
M,43,60,64,2011-04-29 10:17:37.600,8.1
M,51,81,40,2011-05-01 12:02:27.160,24.9
M,49,56,51,2011-05-02 12:49:50.537,3.9
M,25,59,84,2011-05-03 12:27:12.193,5.0
M,37,8,22,2011-05-05 09:10:07.913,8.5
M,49,80,74,2011-05-06 15:11:01.293,2.5
M,54,1,11,2011-05-07 10:10:38.063,18.2
M,29,62,56,2011-05-09 12:46:21.723,7.1
M,46,27,4,2011-05-10 08:33:57.677,5.7
M,24,20,14,2011-05-11 15:41:26.053,12.5
M,42,56,90,2011-05-13 16:17:23.790,43.6
M,53,51,40,2011-05-14 20:12:43.060,3.7
M,38,46,60,2011-05-16 15:36:44.240,6.2
M,40,63,63,2011-05-17 15:39:37.520,30.2
M,20,69,80,2011-05-18 21:45:11.100,12.5
F,26,84,75,2011-05-19 19:12:12.760,7.1
M,28,29,39,2011-05-20 18:12:05.397,20.2
M,27,19,21,2011-05-22 23:04:16.470,10.3
M,34,42,80,2011-05-23 10:11:55.337,10.5
M,35,66,53,2011-05-24 09:36:33.017,2.4
F,36,21,69,2011-05-26 15:20:19.143,11.3
M,27,64,38,2011-05-27 16:55:01.463,7.5
M,27,10,58,2011-05-28 12:32:17.350,20.2
M,21,77,64,2011-05-30 08:47:51.860,9.6
M,22,82,32,2011-05-31 20:39:47.243,21.4
M,32,72,74,2011-06-01 10:06:29.857,8.4
F,30,23,47,2011-06-02 19:56:08.380,4.1
M,23,22,13,2011-06-03 10:29:14.563,1.8
M,45,54,54,2011-06-05 18:27:28.810,3.5
M,27,32,86,2011-06-06 15:27:05.987,9.1
M,31,31,89,2011-06-07 22:39:58.330,12.7
F,31,23,1,2011-06-08 10:04:34.183,7.0
M,29,16,43,2011-06-09 20:08:29.007,31.2
M,44,73,66,2011-06-11 16:48:33.130,18.6
M,56,61,61,2011-06-13 17:30:52.237,18.2
M,27,13,27,2011-06-14 21:21:21.297,8.1
F,27,13,80,2011-06-15 19:26:26.667,10.7
M,23,68,53,2011-06-16 14:28:56.977,6.7
M,56,24,29,2011-06-17 19:22:35.427,12.5
M,60,32,4,2011-06-19 21:20:19.727,6.5
F,21,27,1,2011-06-20 15:27:46.860,84.1
M,53,65,31,2011-06-21 12:52:34.920,16.4
F,22,18,35,2011-06-23 18:23:13.807,4.2
M,28,77,61,2011-06-24 09:10:13.613,9.9
F,30,82,20,2011-06-26 10:48:55.350,66.5
F,23,61,84,2011-06-28 18:54:52.387,8.3
M,27,24,47,2011-06-29 14:18:47.227,5.8
M,56,54,68,2011-07-01 09:35:28.533,4.5
F,39,2,87,2011-07-03 11:52:44.627,27.2
F,23,19,14,2011-07-05 14:18:03.327,9.8
M,25,1,1,2011-07-06 20:17:08.883,27.1
M,31,13,19,2011-07-08 16:41:07.040,11.1
F,21,78,13,2011-07-09 14:23:08.053,23.1
M,48,44,44,2011-07-11 13:26:58.293,11.5
M,23,36,63,2011-07-13 17:19:12.027,4.3
F,42,18,82,2011-07-14 19:35:40.563,16.1
F,29,70,83,2011-07-15 23:05:18.680,8.0
M,24,82,41,2011-07-18 11:08:29.013,82.5
M,36,16,11,2011-07-19 11:22:51.413,6.7
F,20,67,67,2011-07-20 18:06:18.010,31.7
M,27,73,36,2011-07-22 21:20:11.717,5.4
M,35,83,74,2011-07-24 19:08:36.860,3.1
F,20,8,85,2011-07-26 14:28:25.113,8.5
M,57,80,74,2011-07-27 10:09:19.947,3.5
