Genero_Usuario,Edad_Usuario,Bici,Ciclo_Estacion_Retiro,Fecha_Retiro,Hora_Retiro,Ciclo_Estacion_Arribo,Fecha_Arribo,Hora_Arribo
M,20,0728,20,2010-05-01,00:00:03.360000,4,2010-05-01,00:10:42.040000
M,49,0186,74,2010-05-01,00:04:54.670000,75,2010-05-01,00:21:08.297000
M,52,0902,53,2010-05-01,00:10:54.697000,42,2010-05-01,00:19:24.873000
M,36,0714,15,2010-05-01,00:12:05.317000,61,2010-05-01,00:26:35.967000
M,32,1034,31,2010-05-01,00:12:19.207000,70,2010-05-01,00:25:42.560000
M,54,1152,15,2010-05-01,00:12:54.990000,61,2010-05-01,00:26:26.483000
M,69,0238,49,2010-05-01,00:16:20.087000,49,2010-05-01,00:34:58.063000
F,32,0873,57,2010-05-01,00:20:13.827000,68,2010-05-01,00:23:30.783000
M,37,0265,2,2010-05-01,00:23:20.877000,16,2010-05-01,00:26:56.750000
M,22,0035,21,2010-05-01,07:01:50.253000,81,2010-05-01,07:12:04.090000
M,21,1131,64,2010-05-01,07:06:28.437000,40,2010-05-01,07:14:47.313000
M,41,0944,70,2010-05-01,07:10:36.753000,50,2010-05-01,07:16:00.747000
M,40,0371,20,2010-05-01,07:18:38.337000,12,2010-05-01,07:46:11.610000
M,59,0879,83,2010-05-01,07:26:42.873000,65,2010-05-01,07:32:27.243000
M,38,0891,64,2010-05-01,07:34:31.797000,54,2010-05-01,07:38:09.680000
M,44,0693,2,2010-05-01,07:39:24.700000,4,2010-05-01,07:42:26.237000
M,51,1113,17,2010-05-01,07:41:33.727000,13,2010-05-01,07:48:05.580000
M,30,1105,23,2010-05-01,07:44:53.820000,30,2010-05-01,07:51:05.020000
M,43,0772,13,2010-05-01,07:46:37.233000,15,2010-05-01,08:07:39.977000
F,19,0800,72,2010-05-01,07:52:44.583000,49,2010-05-01,07:58:12.670000
M,42,0105,70,2010-05-01,07:54:05.007000,64,2010-05-01,10:23:13.450000
M,32,0444,60,2010-05-01,07:55:23.110000,61,2010-05-01,08:02:11.157000
M,27,0477,84,2010-05-01,07:57:04.943000,37,2010-05-01,08:04:07.020000
M,53,0083,49,2010-05-01,07:57:37.763000,53,2010-05-01,08:03:33.003000
M,34,0661,82,2010-05-01,07:59:56.260000,70,2010-05-01,08:16:46.377000
M,27,0974,85,2010-05-01,08:02:37.673000,33,2010-05-01,08:11:55.123000
M,26,0751,84,2010-05-01,08:05:58.493000,6,2010-05-01,08:19:52.463000
M,38,0756,31,2010-05-01,08:11:37.273000,23,2010-05-01,08:19:11.493000
F,21,0420,64,2010-05-01,08:11:53.023000,67,2010-05-01,08:19:23.320000
M,36,0624,6,2010-05-01,08:15:13.030000,34,2010-05-01,08:19:58.867000
M,53,0581,53,2010-05-01,08:16:45.393000,44,2010-05-01,10:17:20.030000
F,53,816,70,2010-05-01,08:17:21.067000,70,2010-05-01,08:31:16.817000
M,27,0893,37,2010-05-01,08:19:31.413000,61,2010-05-01,08:25:01.680000
M,42,0552,56,2010-05-01,08:25:53.853000,73,2010-05-01,08:41:42.827000
M,29,0137,71,2010-05-01,08:29:38.707000,71,2010-05-01,08:46:18.567000
M,27,0747,37,2010-05-01,08:34:09.930000,37,2010-05-01,08:38:10.620000
M,32,0179,70,2010-05-01,08:37:55.763000,60,2010-05-01,08:44:52.990000
M,58,0935,77,2010-05-01,08:39:53.623000,53,2010-05-01,09:06:00.680000
M,47,0980,76,2010-05-01,08:40:32.853000,76,2010-05-01,08:54:29.120000
M,39,0098,4,2010-05-01,08:41:19.747000,54,2010-05-01,08:55:06.627000
M,27,0241,66,2010-05-01,08:46:06.927000,69,2010-05-01,08:54:25.063000
M,58,0131,68,2010-05-01,08:46:24.167000,83,2010-05-01,08:50:50.753000
M,26,0540,66,2010-05-01,08:47:14.930000,64,2010-05-01,08:54:35.310000
M,44,0359,6,2010-05-01,08:48:09.967000,6,2010-05-01,09:15:31.903000
M,36,0447,4,2010-05-01,08:50:24.767000,61,2010-05-01,08:56:42.500000
M,44,1043,73,2010-05-01,08:55:54.953000,54,2010-05-01,09:07:15.483000
M,19,0769,42,2010-05-01,08:56:49.393000,80,2010-05-01,09:13:40.130000
M,27,0952,49,2010-05-01,08:56:59.813000,36,2010-05-01,08:59:05.897000
M,51,0145,5,2010-05-01,08:58:10.487000,5,2010-05-01,09:15:09.743000
F,31,1009,84,2010-05-01,09:02:37.260000,67,2010-05-01,09:08:48.547000
F,34,0278,49,2010-05-01,09:05:18.403000,66,2010-05-01,09:09:12.860000
M,42,1176,73,2010-05-01,09:05:23.130000,69,2010-05-01,09:17:54.120000
M,35,1182,66,2010-05-01,09:07:57.140000,35,2010-05-01,09:22:39.907000
M,44,0625,55,2010-05-01,09:08:38.140000,50,2010-05-01,09:15:00.303000
M,39,0724,52,2010-05-01,09:09:30.483000,2,2010-05-01,09:16:10.947000
M,39,0932,76,2010-05-01,09:09:37.780000,4,2010-05-01,09:38:35.067000
F,39,1196,76,2010-05-01,09:11:49.193000,71,2010-05-01,09:22:46.907000
M,39,0031,66,2010-05-01,09:12:09.097000,73,2010-05-01,09:13:51.447000
M,41,0481,76,2010-05-01,09:12:11.083000,71,2010-05-01,09:23:10.890000
M,43,0398,79,2010-05-01,09:13:41.053000,59,2010-05-01,09:22:51.030000
F,43,0930,67,2010-05-01,09:13:55.350000,70,2010-05-01,09:19:04.870000
M,27,0230,70,2010-05-01,09:14:10.727000,84,2010-05-01,09:18:53.590000
F,28,0889,2,2010-05-01,09:15:05.710000,52,2010-05-01,09:27:41.167000
F,35,0950,5,2010-05-01,09:15:52.447000,31,2010-05-01,09:23:16.110000
