Total_Rides,Start_Station,End_Station
477,18,1
434,211,217
427,1,18
342,174,183
335,41,3
328,23,27
318,183,174
309,61,61
305,217,211
298,34,1
292,36,53
291,1,35
290,21,27
281,70,70
281,27,43
278,27,29
274,35,1
268,27,1
265,41,19
259,1,27
257,85,174
250,53,36
250,27,27
248,208,206
242,165,163
238,24,27
234,206,208
231,208,242
228,151,158
225,84,71
224,84,63
224,270,266
221,27,41
218,174,85
217,208,197
215,84,61
214,25,27
214,41,10
213,77,68
213,32,4
212,1,1
211,15,27
210,27,15
208,135,136
207,64,45
205,84,64
205,73,77
205,1,86
204,28,27
204,84,59
201,41,20
199,41,18
198,197,208
197,256,183
195,84,74
194,158,141
191,77,73
191,77,66
190,57,36
188,7,7
187,22,27
187,174,257
186,41,17
186,237,236
186,158,151
184,17,35
184,8,29
182,45,64
182,242,208
180,35,17
179,18,15
179,17,27
179,66,77
179,43,43
178,18,14
175,1,34
175,1,9
175,210,209
174,60,36
173,85,85
173,36,57
172,18,18
172,86,15
171,71,84
171,1,4
169,217,212
169,141,158
169,174,111
167,36,60
166,21,24
166,86,16
165,4,1
165,54,54
165,111,174
163,36,63
163,36,64
163,136,135
162,20,17
162,209,208
161,158,155
160,49,49
160,14,27
160,86,17
160,1,174
159,27,266
159,271,18
157,36,58
157,64,36
157,41,41
157,68,77
157,64,63
157,219,197
156,10,10
156,58,58
156,63,63
156,13,27
156,26,43
156,158,145
155,174,1
154,27,17
153,20,15
153,113,107
152,71,71
151,74,84
151,271,270
150,10,18
150,210,206
149,61,84
149,47,47
149,1,99
148,64,71
147,126,141
146,155,158
146,208,217
145,53,53
145,16,16
145,77,67
145,27,52
145,82,124
144,36,66
144,68,68
144,36,50
144,37,64
144,18,13
144,85,86
144,86,1
144,242,235
143,63,36
143,208,209
143,206,204
142,54,64
142,27,26
142,59,84
141,64,64
141,163,165
141,107,113
141,261,27
140,6,35
140,67,67
140,63,84
140,27,23
140,52,43
140,145,158
139,32,24
139,58,36
138,36,36
138,16,27
138,124,82
